m/z,z,I,Res.
54.19533,,587640,538757
54.19559,,711441,493355
54.19579,,514895,1161613
54.1965,,591563,958041
54.19668,,534767,1122369
54.19718,,798773,610092
54.19793,,518407,512446
54.19859,,485946,1361063
54.1987,,421261,2003837
54.19953,,665823,952594
54.19967,,507454,990887
54.1999,,611293,528815
54.20042,,617856,422123
54.20119,,600170,488491
54.20189,,471324,1300802
54.20224,,482166,547767
54.20242,,503858,1253704
54.20261,,561723,593679
54.203,,512048,799576
54.20321,,435923,1573501
54.20336,,672404,872094
54.20353,,572665,830907
54.20375,,473518,722720
54.20439,,422415,1614735
54.20473,,585274,756389
54.20502,,663188,727918
54.20522,,704614,757299
54.20538,,542928,1054736
54.20543,,564907,841350
54.20556,,516091,1124448
54.20629,,781745,587813
54.20647,,652619,638797
54.20712,,860325,588748
54.20767,,762356,482416
54.20809,,567153,646830
54.20832,,430043,1262829
54.20871,,642085,807409
54.20928,,629324,550600
54.2094,,463026,670071
54.20959,,592769,775436
54.2097,,510540,872679
54.21059,,788306,587960
54.21109,,578610,462000
54.21141,,603051,817366
54.21215,,551112,564900
54.21229,,736037,628303
54.2131,,745911,753263
54.21361,,452034,1029877
54.21376,,420106,1359719
54.21385,,487192,1133610
54.21419,,485366,1074845
54.21437,,502432,500073
54.21485,,476206,1241012
54.21504,,583130,652580
54.2155,,478087,1332991
54.21568,,658572,537644
54.21623,,788609,787986
54.21636,,493117,1064423
54.21667,,429062,827570
54.2177,,559645,827816
54.21853,,690074,773373
54.21929,,447360,1532035
54.21946,,437048,1520447
54.21962,,590206,688202
54.22005,,512207,915414
54.22044,,600892,719265
54.22074,,547844,851876
54.22095,,544571,710358
54.22168,,684990,674824
54.22179,,587891,935466
54.22239,,473479,888864
54.22309,,596254,643619
54.22358,,644637,924185
54.22404,,453852,1527246
54.22416,,447301,1760766
54.2243,,486803,1149810
54.22519,,582782,806396
54.22552,,426972,1684144
54.22617,,457962,1134401
54.2264,,538749,1129445
54.22657,,554274,797338
54.22823,,502311,1265099
54.22853,,465113,1275434
54.22867,,555681,1024825
54.22895,,536631,864657
54.22935,,448537,1485049
54.23036,,541540,673476
